Feature,DF,GCE,OU,VU
Number of Items,2.15368809705906,-0.9382054365881294,0.8148385123880837,2.701849587885044
Number of Ratings,-2.016260119952662,1.278364529714075,-1.734091828715795,-3.817710863202299
Number of Users,0.936122336440468,-0.7530472222571416,1.557441602258137,1.246609799748796
hit@5,0.9810921670064077,-0.06399421660288603,0.3642145842892057,-0.4350764959004538
Rating per User,0.7346306569678884,-0.8318914541827674,1.613818895890669,0.6168651732915869
Mean Rating,1.962603851524633,3.653528832977128,3.728197212412418,2.994958481508216
Gini User,0.7734968904802263,-0.2332856980865174,1.265333804562858,0.5552570338919988
Standart Deviation of Rating,0.8230358244870027,-1.389614538152257,-0.2482569770838655,-1.025008119077385
Density,0.2834686453296442,-0.3778734500125703,0.1784153467098168,-0.6627559691462316
Rating per Item,-0.4156555793288286,-0.6177187115592233,0.1745319285302459,0.4584734576871863
Skewness of Long Tail Items,0.07123037948166777,-0.1594243278656008,-0.1916507940205202,0.1758227739348197
Difference between Sensitive Attribute Percentage,0.776423099695705,-4.515910437784834,-0.2437279616915725,0.3817216229020226
Skewness of Popularity Bias,0.0393286084622694,0.2620832280730233,0.1266195475324228,0.1707984209935823
Dataset_ml1m,914302826130.2805,394936672856.389,477713931976.7206,-580790009549.1128
Model Name_FOCF,613084705409.7162,264824330424.3121,320330526041.9279,-389448070959.3898
Model Name_PFCN_MLP,613084705410.9437,264824330424.3959,320330526043.379,-389448070959.1542
const,1508230075396.27,651485865359.0669,788034881937.0007,-958068743587.8572
Sensitive Feature_Age,-3035617606941.281,-1311246868639.992,-1586079339961.532,1928306824093.329
Model Name_NFCF,613084705411.274,264824330424.3781,320330526044.046,-389448070958.6336
Sensitive Feature_Gender,-3035617606941.424,-1311246868639.881,-1586079339961.577,1928306824092.523
Dataset_BX,914302826131.7305,394936672860.3947,477713931979.1423,-580790009546.7488
Gini Item,0.753177407343887,0.6884217856149657,0.4807184134400131,0.1131569285884154
Shape,-1.119613280853632,0.03733751111662159,-0.7407509942953945,0.04699047223275199
